profile,actor,DPS,increase,
Composite,Balefire_Branch_489,199683,11.02%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_489,199639,11.00%,
Composite,Belorrelos_the_Suncaller_489,199551,10.95%,
Composite,Balefire_Branch_483,198716,10.49%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_483,198407,10.31%,
Composite,Belorrelos_the_Suncaller_483,198225,10.21%,
Composite,Nymues_Unraveling_Spindle_489,198120,10.15%,
Composite,Pips_Emerald_Friendship_Badge_489,198029,10.10%,
Composite,Energy_Siphon_476,197492,9.80%,
Composite,Pips_Emerald_Friendship_Badge_483,197294,9.69%,
Composite,Sea_Star_489,197225,9.66%,
Composite,Living_Flame_476,197094,9.58%,
Composite,Coagulated_Genesaur_Blood_489,197072,9.57%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_476,197070,9.57%,
Composite,Balefire_Branch_470,197012,9.54%,
Composite,Mirror_of_Fractured_Tomorrows_489,196983,9.52%,
Composite,Nymues_Unraveling_Spindle_483,196955,9.51%,
Composite,Belorrelos_the_Suncaller_476,196766,9.40%,
Composite,Sea_Star_483,196401,9.20%,
Composite,Pips_Emerald_Friendship_Badge_476,196389,9.19%,
Composite,Eye_of_the_Broodmother_476,196381,9.19%,
Composite,Coagulated_Genesaur_Blood_483,196325,9.16%,
Composite,Mirror_of_Fractured_Tomorrows_483,196197,9.08%,
Composite,Vessel_of_Skittering_Shadows_489,196166,9.07%,
Composite,Necromantic_Focus_476,195959,8.95%,
Composite,Sustaining_Alchemist_Stone_486,195947,8.95%,
Composite,Scale_of_Fates_476,195907,8.92%,
Composite,Nymues_Unraveling_Spindle_476,195774,8.85%,
Composite,Flare_of_the_Heavens_476,195422,8.65%,
Composite,Vessel_of_Skittering_Shadows_483,195178,8.52%,
Composite,Sea_Star_470,194917,8.37%,
Composite,Pips_Emerald_Friendship_Badge_463,194910,8.37%,
Composite,Coagulated_Genesaur_Blood_470,194863,8.34%,
Composite,Ashes_of_the_Embersoul_489,194799,8.31%,
Composite,Nymues_Unraveling_Spindle_IMMOBILIZED_463,194767,8.29%,
Composite,Darkmoon_Deck_Box_Dance_Emberscale_486,194675,8.24%,
Composite,Augury_of_the_Primal_Flame_496,194652,8.23%,
Composite,Neltharions_Call_to_Suffering_457,194642,8.22%,
Composite,The_Skull_of_Guldan_476,194621,8.21%,
Composite,Pandoras_Plea_476,194613,8.20%,
Composite,Oakhearts_Gnarled_Root_489,194548,8.17%,
Composite,Elemental_Focus_Stone_476,194535,8.16%,
Composite,Lady_Waycrests_Music_Box_489,194460,8.12%,
Composite,Mirror_of_Fractured_Tomorrows_470,194417,8.10%,
Composite,Darkmoon_Deck_Box_Dance_486,194415,8.09%,
Composite,Spoils_of_Neltharus_447,194347,8.06%,
Composite,Darkmoon_Deck_Box_Dance_Jetscale_486,194342,8.05%,
Composite,Belorrelos_the_Suncaller_463,194340,8.05%,
Composite,Darkmoon_Deck_Box_Dance_Sagescale_486,194338,8.05%,
Composite,Darkmoon_Deck_Box_Dance_Azurescale_486,194322,8.04%,
Composite,Darkmoon_Deck_Box_Dance_Bronzescale_486,194307,8.03%,
Composite,Ashes_of_the_Embersoul_483,194049,7.89%,
Composite,Alacritous_Alchemist_Stone_486,194024,7.88%,
Composite,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_447,193994,7.86%,
Composite,Augury_of_the_Primal_Flame_489,193938,7.83%,
Composite,Verdant_Gladiators_Badge_of_Ferocity_463,193925,7.82%,
Composite,Darkmoon_Deck_Box_Inferno_Emberscale_486,193905,7.81%,
Composite,Oakhearts_Gnarled_Root_483,193841,7.77%,
Composite,Spoils_of_Neltharus_441,193751,7.73%,
Composite,Darkmoon_Deck_Box_Inferno_Azurescale_486,193746,7.72%,
Composite,Darkmoon_Deck_Box_Inferno_Jetscale_486,193733,7.71%,
Composite,Darkmoon_Deck_Box_Inferno_486,193732,7.71%,
Composite,Darkmoon_Deck_Box_Inferno_Bronzescale_486,193702,7.70%,
Composite,Darkmoon_Deck_Box_Inferno_Sagescale_486,193694,7.69%,
Composite,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_447,193661,7.67%,
Composite,Lady_Waycrests_Music_Box_483,193660,7.67%,
Composite,Nymues_Unraveling_Spindle_463,193649,7.67%,
Composite,Time_Thiefs_Gambit_489,193588,7.63%,
Composite,Dancing_Dream_Blossoms_463,193465,7.57%,
Composite,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_447,193425,7.54%,
Composite,Spoils_of_Neltharus_437,193360,7.51%,
Composite,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_447,193321,7.49%,
Composite,Augury_of_the_Primal_Flame_483,193308,7.48%,
Composite,Ashes_of_the_Embersoul_476,193281,7.46%,
Composite,Vessel_of_Skittering_Shadows_470,193261,7.45%,
Composite,Irideus_Fragment_447,192917,7.26%,
Composite,Caged_Horror_489,192902,7.25%,
Composite,Time_Thiefs_Gambit_483,192882,7.24%,
Composite,Ominous_Chromatic_Essence_Bronze_ALL_ALLIES_447,192828,7.21%,
Composite,Verdant_Gladiators_Insignia_of_Alacrity_463,192778,7.18%,
Composite,Corrupted_Starlight_488,192762,7.17%,
Composite,Augury_of_the_Primal_Flame_476,192722,7.15%,
Composite,Oakhearts_Gnarled_Root_470,192621,7.10%,
Composite,Caged_Horror_483,192345,6.94%,
Composite,Irideus_Fragment_441,192334,6.94%,
Composite,Darkmoon_Deck_Box_Rime_Jetscale_486,192296,6.92%,
Composite,Screaming_Black_Dragonscale_447,192290,6.91%,
Composite,Darkmoon_Deck_Box_Rime_Sagescale_486,192289,6.91%,
Composite,Darkmoon_Deck_Box_Rime_486,192280,6.91%,
Composite,Darkmoon_Deck_Box_Rime_Bronzescale_486,192263,6.90%,
Composite,Darkmoon_Deck_Box_Rime_Emberscale_486,192261,6.90%,
Composite,Ominous_Chromatic_Essence_Ruby_447,192245,6.89%,
Composite,Darkmoon_Deck_Box_Rime_Azurescale_486,192242,6.89%,
Composite,Corrupted_Starlight_483,192183,6.85%,
Composite,Ominous_Chromatic_Essence_Emerald_447,192049,6.78%,
Composite,Ominous_Chromatic_Essence_Azure_447,192036,6.77%,
Composite,Irideus_Fragment_437,192006,6.75%,
Composite,Ashes_of_the_Embersoul_463,191901,6.70%,
Composite,Lady_Waycrests_Music_Box_470,191862,6.67%,
Composite,Vessel_of_Searing_Shadow_447,191813,6.65%,
Composite,Ominous_Chromatic_Essence_Obsidian_447,191804,6.64%,
Composite,Pinch_of_Dream_Magic_463,191594,6.53%,
Composite,Igneous_Flowstone_447,191518,6.48%,
Composite,Time_Thiefs_Gambit_470,191445,6.44%,
Composite,Idol_of_the_Spell_Weaver_486,191313,6.37%,
Composite,Rotcrusted_Voodoo_Doll_447,191249,6.33%,
Composite,Caged_Horror_470,191244,6.33%,
Composite,Corrupted_Starlight_470,191158,6.28%,
Composite,Ruby_Whelp_Shell_SRW6_437,191118,6.26%,
Composite,Idol_of_the_Earth_Warder_486,191114,6.26%,
Composite,Idol_of_the_Life_Binder_486,191101,6.25%,
Composite,Ominous_Chromatic_Essence_Bronze_447,190976,6.18%,
Composite,Rune_of_the_Umbramane_463,190961,6.17%,
Composite,Ruby_Whelp_Shell_URW6_437,190883,6.13%,
Composite,Erupting_Spear_Fragment_447,190649,6.00%,
Composite,Rotcrusted_Voodoo_Doll_441,190557,5.95%,
Composite,Idol_of_the_Dreamer_486,190510,5.92%,
Composite,Naraxas_Spiked_Tongue_447,190497,5.92%,
Composite,Idol_of_Pure_Decay_447,190399,5.86%,
Composite,Naraxas_Spiked_Tongue_441,190022,5.65%,
Composite,Erupting_Spear_Fragment_441,189989,5.63%,
Composite,Variable_Pulse_Lightning_Capacitor_476,189884,5.58%,
Composite,Idol_of_Pure_Decay_441,189782,5.52%,
Composite,Furious_Ragefeather_437,189734,5.49%,
Composite,Time_Breaching_Talon_447,189705,5.48%,
Composite,Erupting_Spear_Fragment_437,189704,5.47%,
Composite,Ruby_Whelp_Shell_FS6_437,189496,5.36%,
Composite,Time_Breaching_Talon_441,189462,5.34%,
Composite,Idol_of_Pure_Decay_437,189341,5.27%,
Composite,Time_Breaching_Talon_437,189251,5.22%,
Composite,Emerald_Coachs_Whistle_437,189214,5.20%,
Composite,Ruby_Whelp_Shell_LFN6_437,189193,5.19%,
Composite,Beacon_to_the_Beyond_450,189113,5.15%,
Composite,Tome_of_Unstable_Power_437,188336,4.71%,
Composite,Umbrelskuls_Fractured_Heart_437,187866,4.45%,
Composite,Vanquished_Clutches_of_Yogg_Saron_476,185587,3.19%,
Composite,Base,179857,0.00%,
