profile,actor,DPS,increase,
Dungeons-Push,Tome_of_Unstable_Power_528,425063,10.86%,
Dungeons-Push,Neltharions_Call_to_Suffering_535,425027,10.85%,
Dungeons-Push,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_528,424205,10.63%,
Dungeons-Push,Whispering_Incarnate_Icon_FULL_528,423911,10.56%,
Dungeons-Push,Ominous_Chromatic_Essence_Bronze_ALL_ALLIES_528,423890,10.55%,
Dungeons-Push,Whispering_Incarnate_Icon_TankDPS_528,422906,10.29%,
Dungeons-Push,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_528,422559,10.20%,
Dungeons-Push,Tome_of_Unstable_Power_522,422468,10.18%,
Dungeons-Push,Whispering_Incarnate_Icon_HealerDPS_528,422462,10.18%,
Dungeons-Push,Vessel_of_Searing_Shadow_528,422014,10.06%,
Dungeons-Push,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_528,421932,10.04%,
Dungeons-Push,Umbrelskuls_Fractured_Heart_528,421597,9.95%,
Dungeons-Push,Whispering_Incarnate_Icon_DPS_528,421377,9.89%,
Dungeons-Push,Pips_Emerald_Friendship_Badge_528,421165,9.84%,
Dungeons-Push,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_528,420605,9.69%,
Dungeons-Push,Screaming_Black_Dragonscale_528,420349,9.63%,
Dungeons-Push,Igneous_Flowstone_528,419811,9.49%,
Dungeons-Push,Ominous_Chromatic_Essence_Bronze_528,419780,9.48%,
Dungeons-Push,Ruby_Whelp_Shell_URW6_528,419775,9.48%,
Dungeons-Push,Ruby_Whelp_Shell_SRW6_528,419651,9.44%,
Dungeons-Push,Furious_Ragefeather_528,419600,9.43%,
Dungeons-Push,Ominous_Chromatic_Essence_Emerald_528,419448,9.39%,
Dungeons-Push,Spoils_of_Neltharus_528,419383,9.37%,
Dungeons-Push,Umbrelskuls_Fractured_Heart_522,419312,9.36%,
Dungeons-Push,Eye_of_the_Broodmother_515,419054,9.29%,
Dungeons-Push,Ominous_Chromatic_Essence_Obsidian_528,418740,9.21%,
Dungeons-Push,Ruby_Whelp_Shell_URW6_522,418545,9.16%,
Dungeons-Push,Nymues_Unraveling_Spindle_IMMOBILIZED_528,418535,9.15%,
Dungeons-Push,Ominous_Chromatic_Essence_Ruby_528,418346,9.10%,
Dungeons-Push,Belorrelos_the_Suncaller_528,418329,9.10%,
Dungeons-Push,Pandoras_Plea_515,418327,9.10%,
Dungeons-Push,Ruby_Whelp_Shell_SRW6_522,418110,9.04%,
Dungeons-Push,Spoils_of_Neltharus_522,418055,9.03%,
Dungeons-Push,Erupting_Spear_Fragment_528,417783,8.96%,
Dungeons-Push,Flare_of_the_Heavens_515,417729,8.94%,
Dungeons-Push,Idol_of_Pure_Decay_528,417494,8.88%,
Dungeons-Push,Furious_Ragefeather_522,417444,8.87%,
Dungeons-Push,Ominous_Chromatic_Essence_Azure_528,416985,8.75%,
Dungeons-Push,Sustaining_Alchemist_Stone_525,416970,8.75%,
Dungeons-Push,Elemental_Focus_Stone_515,416855,8.72%,
Dungeons-Push,Scale_of_Fates_515,416748,8.69%,
Dungeons-Push,Ruby_Whelp_Shell_FS6_528,416632,8.66%,
Dungeons-Push,Energy_Siphon_515,416600,8.65%,
Dungeons-Push,Ruby_Whelp_Shell_LFN6_528,416590,8.65%,
Dungeons-Push,Augury_of_the_Primal_Flame_535,416391,8.59%,
Dungeons-Push,Erupting_Spear_Fragment_522,416016,8.50%,
Dungeons-Push,Nymues_Unraveling_Spindle_528,415965,8.48%,
Dungeons-Push,Alacritous_Alchemist_Stone_525,415791,8.44%,
Dungeons-Push,Idol_of_Pure_Decay_522,415420,8.34%,
Dungeons-Push,Conjured_Chillglobe_528,415240,8.29%,
Dungeons-Push,Iceblood_Deathsnare_528,415236,8.29%,
Dungeons-Push,Time_Thiefs_Gambit_522,415053,8.25%,
Dungeons-Push,Necromantic_Focus_515,414845,8.19%,
Dungeons-Push,Augury_of_the_Primal_Flame_528,414767,8.17%,
Dungeons-Push,Ruby_Whelp_Shell_FS6_522,414736,8.16%,
Dungeons-Push,Ruby_Whelp_Shell_LFN6_522,414723,8.16%,
Dungeons-Push,Desperate_Invokers_Codex_528,414481,8.10%,
Dungeons-Push,The_Skull_of_Guldan_515,414143,8.01%,
Dungeons-Push,Mirror_of_Fractured_Tomorrows_522,413965,7.96%,
Dungeons-Push,Living_Flame_515,413543,7.85%,
Dungeons-Push,Time_Thiefs_Gambit_515,413390,7.81%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Emberscale_525,412950,7.70%,
Dungeons-Push,Ashes_of_the_Embersoul_528,412449,7.57%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Jetscale_525,412408,7.56%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Bronzescale_525,412335,7.54%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_525,412335,7.54%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Azurescale_525,412310,7.53%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Sagescale_525,412302,7.53%,
Dungeons-Push,Mirror_of_Fractured_Tomorrows_515,412274,7.52%,
