profile,actor,DPS,increase,
Dungeons-Push,Belorrelos_the_Suncaller_489,180809,8.17%,
Dungeons-Push,Belorrelos_the_Suncaller_483,179835,7.59%,
Dungeons-Push,Nymues_Unraveling_Spindle_IMMOBILIZED_489,179522,7.40%,
Dungeons-Push,Pips_Emerald_Friendship_Badge_489,179080,7.14%,
Dungeons-Push,Belorrelos_the_Suncaller_476,178777,6.95%,
Dungeons-Push,Nymues_Unraveling_Spindle_IMMOBILIZED_483,178733,6.93%,
Dungeons-Push,Pips_Emerald_Friendship_Badge_483,178570,6.83%,
Dungeons-Push,Sea_Star_489,178496,6.79%,
Dungeons-Push,Nymues_Unraveling_Spindle_489,178472,6.77%,
Dungeons-Push,Coagulated_Genesaur_Blood_489,178439,6.75%,
Dungeons-Push,Balefire_Branch_FULL_489,178341,6.69%,
Dungeons-Push,Time_Thiefs_Gambit_489,178293,6.66%,
Dungeons-Push,Balefire_Branch_70%_489,178233,6.63%,
Dungeons-Push,Balefire_Branch_2RPPM_489,178223,6.62%,
Dungeons-Push,Balefire_Branch_80%_489,178220,6.62%,
Dungeons-Push,Vessel_of_Skittering_Shadows_489,178081,6.54%,
Dungeons-Push,Augury_of_the_Primal_Flame_496,178033,6.51%,
Dungeons-Push,Sea_Star_483,178014,6.50%,
Dungeons-Push,Pips_Emerald_Friendship_Badge_476,178005,6.49%,
Dungeons-Push,Coagulated_Genesaur_Blood_483,177972,6.47%,
Dungeons-Push,Time_Thiefs_Gambit_483,177873,6.41%,
Dungeons-Push,Eye_of_the_Broodmother_476,177870,6.41%,
Dungeons-Push,Sustaining_Alchemist_Stone_486,177860,6.41%,
Dungeons-Push,Nymues_Unraveling_Spindle_IMMOBILIZED_476,177852,6.40%,
Dungeons-Push,Balefire_Branch_FULL_483,177821,6.38%,
Dungeons-Push,Mirror_of_Fractured_Tomorrows_489,177785,6.36%,
Dungeons-Push,Balefire_Branch_70%_483,177752,6.34%,
Dungeons-Push,Balefire_Branch_80%_483,177749,6.34%,
Dungeons-Push,Balefire_Branch_2RPPM_483,177740,6.33%,
Dungeons-Push,Nymues_Unraveling_Spindle_483,177721,6.32%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Emberscale_486,177530,6.21%,
Dungeons-Push,Augury_of_the_Primal_Flame_489,177503,6.19%,
Dungeons-Push,Vessel_of_Skittering_Shadows_483,177443,6.16%,
Dungeons-Push,Energy_Siphon_476,177376,6.12%,
Dungeons-Push,Flare_of_the_Heavens_476,177340,6.10%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Jetscale_486,177336,6.09%,
Dungeons-Push,Mirror_of_Fractured_Tomorrows_483,177298,6.07%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Bronzescale_486,177277,6.06%,
Dungeons-Push,Scale_of_Fates_476,177274,6.06%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Azurescale_486,177269,6.05%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_486,177266,6.05%,
Dungeons-Push,Darkmoon_Deck_Box_Dance_Sagescale_486,177257,6.05%,
Dungeons-Push,Necromantic_Focus_476,177213,6.02%,
Dungeons-Push,Pandoras_Plea_476,177174,6.00%,
Dungeons-Push,Pips_Emerald_Friendship_Badge_463,177074,5.94%,
Dungeons-Push,Augury_of_the_Primal_Flame_483,177045,5.92%,
Dungeons-Push,Sea_Star_470,177044,5.92%,
Dungeons-Push,Belorrelos_the_Suncaller_463,177034,5.91%,
Dungeons-Push,Coagulated_Genesaur_Blood_470,176993,5.89%,
Dungeons-Push,Elemental_Focus_Stone_476,176990,5.89%,
Dungeons-Push,Nymues_Unraveling_Spindle_476,176951,5.86%,
Dungeons-Push,Time_Thiefs_Gambit_470,176880,5.82%,
Dungeons-Push,Balefire_Branch_FULL_470,176865,5.81%,
Dungeons-Push,Balefire_Branch_70%_470,176793,5.77%,
Dungeons-Push,Balefire_Branch_2RPPM_470,176783,5.76%,
Dungeons-Push,Balefire_Branch_80%_470,176782,5.76%,
Dungeons-Push,Lady_Waycrests_Music_Box_489,176667,5.69%,
Dungeons-Push,Augury_of_the_Primal_Flame_476,176591,5.65%,
Dungeons-Push,Neltharions_Call_to_Suffering_457,176591,5.65%,
Dungeons-Push,Ashes_of_the_Embersoul_489,176590,5.65%,
Dungeons-Push,Dancing_Dream_Blossoms_463,176568,5.63%,
Dungeons-Push,The_Skull_of_Guldan_476,176554,5.62%,
Dungeons-Push,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_447,176531,5.61%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_Emberscale_486,176530,5.61%,
Dungeons-Push,Alacritous_Alchemist_Stone_486,176526,5.61%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_Jetscale_486,176463,5.57%,
Dungeons-Push,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_447,176454,5.57%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_Sagescale_486,176424,5.55%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_486,176414,5.54%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_Bronzescale_486,176413,5.54%,
Dungeons-Push,Darkmoon_Deck_Box_Inferno_Azurescale_486,176407,5.54%,
Dungeons-Push,Nymues_Unraveling_Spindle_IMMOBILIZED_463,176356,5.51%,
Dungeons-Push,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_447,176321,5.49%,
Dungeons-Push,Mirror_of_Fractured_Tomorrows_470,176289,5.47%,
Dungeons-Push,Living_Flame_476,176276,5.46%,
Dungeons-Push,Oakhearts_Gnarled_Root_489,176259,5.45%,
Dungeons-Push,Ashes_of_the_Embersoul_483,176155,5.39%,
Dungeons-Push,Lady_Waycrests_Music_Box_483,176136,5.37%,
Dungeons-Push,Vessel_of_Skittering_Shadows_470,176127,5.37%,
Dungeons-Push,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_447,176115,5.36%,
Dungeons-Push,Caged_Horror_489,176075,5.34%,
Dungeons-Push,Ominous_Chromatic_Essence_Bronze_ALL_ALLIES_447,175962,5.27%,
Dungeons-Push,Verdant_Gladiators_Insignia_of_Alacrity_463,175951,5.26%,
Dungeons-Push,Oakhearts_Gnarled_Root_483,175856,5.21%,
Dungeons-Push,Spoils_of_Neltharus_447,175704,5.12%,
Dungeons-Push,Caged_Horror_483,175691,5.11%,
Dungeons-Push,Ashes_of_the_Embersoul_476,175688,5.11%,
Dungeons-Push,Nymues_Unraveling_Spindle_463,175633,5.07%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_Jetscale_486,175616,5.06%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_Emberscale_486,175552,5.03%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_Azurescale_486,175531,5.01%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_Bronzescale_486,175522,5.01%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_486,175518,5.00%,
Dungeons-Push,Darkmoon_Deck_Box_Rime_Sagescale_486,175517,5.00%,
Dungeons-Push,Vessel_of_Searing_Shadow_447,175448,4.96%,
Dungeons-Push,Razorwind_Talisman_450,175419,4.95%,
Dungeons-Push,Azure_Arcanic_Amplifier_450,175413,4.94%,
Dungeons-Push,Ominous_Chromatic_Essence_Ruby_447,175401,4.94%,
Dungeons-Push,Verdant_Gladiators_Badge_of_Ferocity_463,175387,4.93%,
Dungeons-Push,Spoils_of_Neltharus_441,175352,4.91%,
Dungeons-Push,Screaming_Black_Dragonscale_447,175311,4.88%,
Dungeons-Push,Smoldering_Howler_Horn_450,175298,4.87%,
Dungeons-Push,Underlight_Globe_450,175280,4.86%,
Dungeons-Push,Primal_Ritual_Shell_Wind_450,175263,4.85%,
Dungeons-Push,Idol_of_the_Spell_Weaver_486,175258,4.85%,
Dungeons-Push,Stirring_Twilight_Ember_450,175196,4.81%,
Dungeons-Push,Ominous_Chromatic_Essence_Obsidian_447,175185,4.81%,
Dungeons-Push,Ominous_Chromatic_Essence_Emerald_447,175179,4.80%,
Dungeons-Push,Hibernation_Crystal_463,175166,4.79%,
Dungeons-Push,Oakhearts_Gnarled_Root_470,175142,4.78%,
Dungeons-Push,Igneous_Flowstone_447,175137,4.78%,
Dungeons-Push,Spoils_of_Neltharus_437,175133,4.77%,
Dungeons-Push,Breath_of_the_Plains_450,175064,4.73%,
Dungeons-Push,Ominous_Chromatic_Essence_Azure_447,175053,4.73%,
Dungeons-Push,Lady_Waycrests_Music_Box_470,175042,4.72%,
Dungeons-Push,Idol_of_the_Life_Binder_486,174948,4.66%,
Dungeons-Push,Caged_Horror_470,174928,4.65%,
Dungeons-Push,Erupting_Spear_Fragment_447,174918,4.65%,
Dungeons-Push,Ominous_Chromatic_Essence_Bronze_447,174909,4.64%,
Dungeons-Push,Ashes_of_the_Embersoul_463,174864,4.61%,
Dungeons-Push,Paracausal_Fragment_of_Azzinoth_450,174861,4.61%,
Dungeons-Push,Idol_of_the_Earth_Warder_486,174778,4.56%,
Dungeons-Push,Corrupted_Starlight_489,174755,4.55%,
Dungeons-Push,Pinch_of_Dream_Magic_463,174635,4.48%,
Dungeons-Push,Primal_Ritual_Shell_Flame_450,174574,4.44%,
Dungeons-Push,Ruby_Whelp_Shell_SRW6_437,174562,4.43%,
Dungeons-Push,Rune_of_the_Umbramane_463,174536,4.42%,
Dungeons-Push,Ruby_Whelp_Shell_URW6_437,174524,4.41%,
Dungeons-Push,Erupting_Spear_Fragment_441,174518,4.41%,
Dungeons-Push,Idol_of_the_Dreamer_486,174509,4.40%,
Dungeons-Push,Corrupted_Starlight_483,174479,4.38%,
Dungeons-Push,Rotcrusted_Voodoo_Doll_447,174346,4.30%,
Dungeons-Push,Irideus_Fragment_447,174328,4.29%,
Dungeons-Push,Erupting_Spear_Fragment_437,174256,4.25%,
Dungeons-Push,Idol_of_Pure_Decay_447,174244,4.24%,
Dungeons-Push,Paracausal_Fragment_of_Thunderfin_Humid_Blade_of_the_Tideseeker_450,174243,4.24%,
Dungeons-Push,Furious_Ragefeather_437,174093,4.15%,
Dungeons-Push,Paracausal_Fragment_of_Frostmourne_450,174087,4.15%,
Dungeons-Push,Irideus_Fragment_441,174016,4.11%,
Dungeons-Push,Rotcrusted_Voodoo_Doll_441,173919,4.05%,
Dungeons-Push,Corrupted_Starlight_470,173879,4.02%,
Dungeons-Push,Irideus_Fragment_437,173822,3.99%,
Dungeons-Push,Idol_of_Pure_Decay_441,173802,3.98%,
Dungeons-Push,Variable_Pulse_Lightning_Capacitor_476,173788,3.97%,
Dungeons-Push,Ruby_Whelp_Shell_FS6_437,173629,3.87%,
Dungeons-Push,Idol_of_Pure_Decay_437,173542,3.82%,
Dungeons-Push,Ruby_Whelp_Shell_LFN6_437,173528,3.81%,
Dungeons-Push,Emerald_Coachs_Whistle_437,173315,3.69%,
Dungeons-Push,Grals_Discarded_Tooth_450,173244,3.64%,
Dungeons-Push,Firecallers_Focus_450,172970,3.48%,
Dungeons-Push,Beacon_to_the_Beyond_450,172941,3.46%,
Dungeons-Push,Time_Breaching_Talon_437,172835,3.40%,
Dungeons-Push,Umbrelskuls_Fractured_Heart_437,172582,3.25%,
Dungeons-Push,Tome_of_Unstable_Power_437,172509,3.20%,
Dungeons-Push,Buzzing_Orb_Core_450,172401,3.14%,
Dungeons-Push,Bottomless_Reliquary_Satchel_450,172378,3.13%,
Dungeons-Push,Volatile_Crystal_Shard_450,172375,3.12%,
Dungeons-Push,Pocket_Darkened_Elemental_Core_450,172358,3.11%,
Dungeons-Push,Vanquished_Clutches_of_Yogg_Saron_476,170925,2.26%,
Dungeons-Push,Suspended_Sulfuric_Droplet_450,170405,1.95%,
Dungeons-Push,Base,167152,0.00%,
