profile,actor,DPS,increase,
Dungeons-Standard,Belorrelos_the_Suncaller_489,169306,9.34%,
Dungeons-Standard,Nymues_Unraveling_Spindle_IMMOBILIZED_489,168413,8.77%,
Dungeons-Standard,Belorrelos_the_Suncaller_483,168354,8.73%,
Dungeons-Standard,Pips_Emerald_Friendship_Badge_489,167543,8.21%,
Dungeons-Standard,Nymues_Unraveling_Spindle_IMMOBILIZED_483,167539,8.20%,
Dungeons-Standard,Belorrelos_the_Suncaller_476,167337,8.07%,
Dungeons-Standard,Sea_Star_489,167149,7.95%,
Dungeons-Standard,Pips_Emerald_Friendship_Badge_483,167015,7.86%,
Dungeons-Standard,Nymues_Unraveling_Spindle_489,166832,7.75%,
Dungeons-Standard,Coagulated_Genesaur_Blood_489,166754,7.70%,
Dungeons-Standard,Vessel_of_Skittering_Shadows_489,166729,7.68%,
Dungeons-Standard,Nymues_Unraveling_Spindle_IMMOBILIZED_476,166617,7.61%,
Dungeons-Standard,Sea_Star_483,166581,7.58%,
Dungeons-Standard,Pips_Emerald_Friendship_Badge_476,166371,7.45%,
Dungeons-Standard,Eye_of_the_Broodmother_476,166284,7.39%,
Dungeons-Standard,Sustaining_Alchemist_Stone_486,166277,7.39%,
Dungeons-Standard,Coagulated_Genesaur_Blood_483,166254,7.37%,
Dungeons-Standard,Augury_of_the_Primal_Flame_496,166207,7.34%,
Dungeons-Standard,Nymues_Unraveling_Spindle_483,166111,7.28%,
Dungeons-Standard,Vessel_of_Skittering_Shadows_483,165984,7.20%,
Dungeons-Standard,Time_Thiefs_Gambit_489,165930,7.16%,
Dungeons-Standard,Energy_Siphon_476,165867,7.12%,
Dungeons-Standard,Mirror_of_Fractured_Tomorrows_489,165847,7.11%,
Dungeons-Standard,Balefire_Branch_489,165829,7.10%,
Dungeons-Standard,Necromantic_Focus_476,165821,7.09%,
Dungeons-Standard,Flare_of_the_Heavens_476,165812,7.09%,
Dungeons-Standard,Augury_of_the_Primal_Flame_489,165650,6.98%,
Dungeons-Standard,Belorrelos_the_Suncaller_463,165611,6.96%,
Dungeons-Standard,Sea_Star_470,165525,6.90%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_Emberscale_486,165431,6.84%,
Dungeons-Standard,Time_Thiefs_Gambit_483,165416,6.83%,
Dungeons-Standard,Balefire_Branch_483,165364,6.80%,
Dungeons-Standard,Nymues_Unraveling_Spindle_476,165336,6.78%,
Dungeons-Standard,Mirror_of_Fractured_Tomorrows_483,165327,6.77%,
Dungeons-Standard,Pips_Emerald_Friendship_Badge_463,165321,6.77%,
Dungeons-Standard,Scale_of_Fates_476,165303,6.76%,
Dungeons-Standard,Pandoras_Plea_476,165245,6.72%,
Dungeons-Standard,Augury_of_the_Primal_Flame_483,165209,6.70%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_Jetscale_486,165207,6.70%,
Dungeons-Standard,Coagulated_Genesaur_Blood_470,165185,6.68%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_486,165161,6.67%,
Dungeons-Standard,Neltharions_Call_to_Suffering_457,165160,6.67%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_Azurescale_486,165155,6.66%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_Sagescale_486,165148,6.66%,
Dungeons-Standard,Darkmoon_Deck_Box_Dance_Bronzescale_486,165141,6.65%,
Dungeons-Standard,Nymues_Unraveling_Spindle_IMMOBILIZED_463,165075,6.61%,
Dungeons-Standard,Elemental_Focus_Stone_476,165074,6.61%,
Dungeons-Standard,Lady_Waycrests_Music_Box_489,165073,6.61%,
Dungeons-Standard,Ominous_Chromatic_Essence_Emerald_ALL_ALLIES_447,164940,6.52%,
Dungeons-Standard,Oakhearts_Gnarled_Root_489,164910,6.51%,
Dungeons-Standard,Living_Flame_476,164896,6.50%,
Dungeons-Standard,Ominous_Chromatic_Essence_Ruby_ALL_ALLIES_447,164697,6.37%,
Dungeons-Standard,Augury_of_the_Primal_Flame_476,164687,6.36%,
Dungeons-Standard,Caged_Horror_489,164677,6.35%,
Dungeons-Standard,Alacritous_Alchemist_Stone_486,164530,6.26%,
Dungeons-Standard,Vessel_of_Skittering_Shadows_470,164517,6.25%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_Emberscale_486,164496,6.24%,
Dungeons-Standard,The_Skull_of_Guldan_476,164478,6.23%,
Dungeons-Standard,Lady_Waycrests_Music_Box_483,164473,6.22%,
Dungeons-Standard,Oakhearts_Gnarled_Root_483,164470,6.22%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_Jetscale_486,164427,6.19%,
Dungeons-Standard,Balefire_Branch_470,164410,6.18%,
Dungeons-Standard,Ominous_Chromatic_Essence_Obsidian_ALL_ALLIES_447,164408,6.18%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_Azurescale_486,164393,6.17%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_Bronzescale_486,164385,6.17%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_486,164379,6.16%,
Dungeons-Standard,Time_Thiefs_Gambit_470,164376,6.16%,
Dungeons-Standard,Darkmoon_Deck_Box_Inferno_Sagescale_486,164370,6.16%,
Dungeons-Standard,Ominous_Chromatic_Essence_Azure_ALL_ALLIES_447,164350,6.14%,
Dungeons-Standard,Dancing_Dream_Blossoms_463,164302,6.11%,
Dungeons-Standard,Mirror_of_Fractured_Tomorrows_470,164261,6.09%,
Dungeons-Standard,Caged_Horror_483,164236,6.07%,
Dungeons-Standard,Ominous_Chromatic_Essence_Bronze_ALL_ALLIES_447,164107,5.99%,
Dungeons-Standard,Verdant_Gladiators_Insignia_of_Alacrity_463,164080,5.97%,
Dungeons-Standard,Nymues_Unraveling_Spindle_463,164003,5.92%,
Dungeons-Standard,Verdant_Gladiators_Badge_of_Ferocity_463,163965,5.89%,
