profile,actor,DPS,increase,
Dungeons,Whispering_Incarnate_Icon_2_421,52127,9.09%,
Dungeons,Whispering_Incarnate_Icon_1_421,52003,8.83%,
Dungeons,Darkmoon_Deck_Box_Inferno_Jetscale_418,51979,8.78%,
Dungeons,Whispering_Incarnate_Icon_0_421,51788,8.38%,
Dungeons,Voidmenders_Shadowgem_421,51775,8.35%,
Dungeons,Horn_of_Valor_421,51771,8.34%,
Dungeons,Crimson_Gladiators_Insignia_of_Alacrity_408,51714,8.22%,
Dungeons,Horn_of_Valor_418,51706,8.21%,
Dungeons,Scale_of_Fates_389,51703,8.20%,
Dungeons,Furious_Ragefeather_421,51684,8.16%,
Dungeons,Conjured_Chillglobe_415,51683,8.16%,
Dungeons,Darkmoon_Deck_Box_Dance_Jetscale_418,51648,8.09%,
Dungeons,Voidmenders_Shadowgem_418,51633,8.05%,
Dungeons,Furious_Ragefeather_418,51605,8.00%,
Dungeons,Darkmoon_Deck_Box_Inferno_Emberscale_418,51605,8.00%,
Dungeons,Darkmoon_Deck_Box_Inferno_Jetscale_405,51583,7.95%,
Dungeons,Voidmenders_Shadowgem_415,51578,7.94%,
Dungeons,Eye_of_Skovald_421,51571,7.93%,
Dungeons,Whispering_Incarnate_Icon_2_408,51566,7.91%,
Dungeons,Alacritous_Alchemist_Stone_418,51564,7.91%,
Dungeons,Darkmoon_Deck_Box_Inferno_418,51532,7.84%,
Dungeons,Horn_of_Valor_415,51525,7.83%,
Dungeons,Whispering_Incarnate_Icon_1_408,51502,7.78%,
Dungeons,Darkmoon_Deck_Box_Inferno_Bronzescale_418,51499,7.77%,
Dungeons,Furious_Ragefeather_415,51487,7.75%,
Dungeons,Darkmoon_Deck_Box_Inferno_Sagescale_418,51486,7.75%,
Dungeons,Eye_of_Skovald_418,51484,7.74%,
Dungeons,Horn_of_Valor_411,51480,7.73%,
Dungeons,Voidmenders_Shadowgem_411,51470,7.71%,
Dungeons,Darkmoon_Deck_Box_Inferno_Azurescale_418,51468,7.71%,
Dungeons,Eye_of_Skovald_415,51433,7.64%,
Dungeons,Voidmenders_Shadowgem_408,51404,7.58%,
Dungeons,Infernal_Wrist_421,51385,7.54%,
Dungeons,Infernal_Wrist_418,51377,7.52%,
Dungeons,Horn_of_Valor_408,51353,7.47%,
Dungeons,Darkmoon_Deck_Box_Dance_Emberscale_418,51346,7.45%,
Dungeons,Voidmenders_Shadowgem_405,51321,7.40%,
Dungeons,Pandoras_Plea_389,51305,7.37%,
Dungeons,Horn_of_Valor_405,51301,7.36%,
Dungeons,Whispering_Incarnate_Icon_0_408,51298,7.35%,
Dungeons,Darkmoon_Deck_Box_Dance_Azurescale_418,51296,7.35%,
Dungeons,Eye_of_Skovald_411,51294,7.35%,
Dungeons,Darkmoon_Deck_Box_Dance_Sagescale_418,51278,7.31%,
Dungeons,Voidmenders_Shadowgem_402,51269,7.29%,
Dungeons,Darkmoon_Deck_Box_Dance_418,51261,7.28%,
Dungeons,Whispering_Incarnate_Icon_2_395,51232,7.22%,
Dungeons,Furious_Ragefeather_411,51225,7.20%,
Dungeons,Eye_of_Skovald_408,51217,7.18%,
Dungeons,Horn_of_Valor_402,51199,7.15%,
Dungeons,Furious_Ragefeather_408,51195,7.14%,
Dungeons,Whispering_Incarnate_Icon_1_395,51193,7.13%,
Dungeons,Alacritous_Alchemist_Stone_405,51189,7.13%,
Dungeons,Darkmoon_Deck_Box_Dance_Bronzescale_418,51188,7.12%,
Dungeons,Energy_Siphon_389,51187,7.12%,
Dungeons,Infernal_Wrist_415,51182,7.11%,
Dungeons,Conjured_Chillglobe_402,51171,7.09%,
Dungeons,The_Skull_of_Guldan_389,51167,7.08%,
Dungeons,Spiteful_Storm_424,51146,7.04%,
Dungeons,Elemental_Focus_Stone_389,51134,7.01%,
Dungeons,Darkmoon_Deck_Box_Inferno_Sagescale_405,51123,6.99%,
Dungeons,Darkmoon_Deck_Box_Inferno_Bronzescale_405,51120,6.98%,
Dungeons,Darkmoon_Deck_Box_Inferno_Emberscale_405,51117,6.98%,
Dungeons,Horn_of_Valor_398,51102,6.94%,
Dungeons,Crimson_Gladiators_Badge_of_Ferocity_408,51099,6.94%,
Dungeons,Eye_of_Skovald_405,51097,6.93%,
Dungeons,Infernal_Wrist_411,51091,6.92%,
Dungeons,Voidmenders_Shadowgem_398,51090,6.92%,
Dungeons,Infernal_Wrist_408,51084,6.91%,
Dungeons,Darkmoon_Deck_Box_Dance_Jetscale_405,51082,6.90%,
Dungeons,Eye_of_Skovald_402,51066,6.87%,
Dungeons,Darkmoon_Deck_Box_Inferno_Azurescale_405,51065,6.87%,
Dungeons,Darkmoon_Deck_Box_Inferno_405,51061,6.86%,
Dungeons,Living_Flame_389,51043,6.82%,
Dungeons,Voidmenders_Shadowgem_395,51042,6.82%,
Dungeons,Furious_Ragefeather_405,51038,6.81%,
Dungeons,Horn_of_Valor_395,51036,6.81%,
Dungeons,Umbrelskuls_Fractured_Heart_421,51029,6.79%,
Dungeons,Voidmenders_Shadowgem_392,51012,6.76%,
Dungeons,Darkmoon_Deck_Box_Inferno_Jetscale_389,50985,6.70%,
Dungeons,Infernal_Wrist_405,50979,6.69%,
Dungeons,Darkmoon_Deck_Box_Rime_Jetscale_418,50960,6.65%,
Dungeons,Umbrelskuls_Fractured_Heart_418,50931,6.59%,
Dungeons,Emerald_Coachs_Whistle_421,50924,6.57%,
Dungeons,Eye_of_Skovald_398,50924,6.57%,
Dungeons,Voidmenders_Shadowgem_389,50919,6.56%,
Dungeons,Furious_Ragefeather_402,50913,6.55%,
Dungeons,Whispering_Incarnate_Icon_0_395,50907,6.54%,
Dungeons,Darkmoon_Deck_Box_Rime_Emberscale_418,50901,6.52%,
Dungeons,Darkmoon_Deck_Box_Dance_Emberscale_405,50900,6.52%,
Dungeons,Infernal_Wrist_402,50896,6.51%,
Dungeons,Horn_of_Valor_392,50886,6.49%,
Dungeons,Darkmoon_Deck_Box_Rime_Bronzescale_418,50884,6.49%,
Dungeons,Darkmoon_Deck_Box_Rime_Sagescale_418,50884,6.49%,
Dungeons,Eye_of_the_Broodmother_389,50878,6.47%,
Dungeons,Infernal_Wrist_398,50874,6.47%,
Dungeons,Darkmoon_Deck_Box_Rime_418,50872,6.46%,
Dungeons,Horn_of_Valor_389,50867,6.45%,
Dungeons,Whispering_Incarnate_Icon_2_382,50859,6.44%,
Dungeons,Emerald_Coachs_Whistle_418,50842,6.40%,
Dungeons,Darkmoon_Deck_Box_Rime_Azurescale_418,50841,6.40%,
Dungeons,Furious_Ragefeather_398,50826,6.37%,
Dungeons,Darkmoon_Deck_Box_Dance_405,50814,6.34%,
Dungeons,Darkmoon_Deck_Box_Dance_Bronzescale_405,50813,6.34%,
Dungeons,Darkmoon_Deck_Box_Dance_Azurescale_405,50810,6.33%,
Dungeons,Darkmoon_Deck_Box_Dance_Sagescale_405,50802,6.32%,
Dungeons,Necromantic_Focus_389,50799,6.31%,
Dungeons,Eye_of_Skovald_395,50797,6.31%,
Dungeons,Voidmenders_Shadowgem_385,50796,6.30%,
Dungeons,Emerald_Coachs_Whistle_415,50791,6.29%,
Dungeons,Horn_of_Valor_385,50785,6.28%,
Dungeons,Voidmenders_Shadowgem_382,50771,6.25%,
Dungeons,Alacritous_Alchemist_Stone_389,50755,6.22%,
Dungeons,Furious_Ragefeather_395,50749,6.21%,
Dungeons,Eye_of_Skovald_392,50746,6.20%,
Dungeons,Flare_of_the_Heavens_389,50733,6.17%,
Dungeons,Infernal_Wrist_395,50732,6.17%,
Dungeons,Umbrelskuls_Fractured_Heart_411,50715,6.13%,
Dungeons,Umbrelskuls_Fractured_Heart_415,50714,6.13%,
Dungeons,Conjured_Chillglobe_389,50714,6.13%,
Dungeons,Whispering_Incarnate_Icon_1_382,50711,6.13%,
Dungeons,Emerald_Coachs_Whistle_411,50701,6.10%,
Dungeons,Horn_of_Valor_382,50684,6.07%,
Dungeons,Spiteful_Storm_411,50682,6.06%,
Dungeons,Darkmoon_Deck_Box_Inferno_Emberscale_389,50678,6.06%,
Dungeons,Infernal_Wrist_392,50672,6.04%,
Dungeons,Eye_of_Skovald_389,50652,6.00%,
Dungeons,Voidmenders_Shadowgem_379,50652,6.00%,
Dungeons,Darkmoon_Deck_Box_Inferno_Azurescale_389,50632,5.96%,
Dungeons,Horn_of_Valor_379,50616,5.93%,
Dungeons,Darkmoon_Deck_Box_Inferno_Sagescale_389,50615,5.92%,
Dungeons,Emerald_Coachs_Whistle_408,50599,5.89%,
Dungeons,Umbrelskuls_Fractured_Heart_408,50599,5.89%,
Dungeons,Infernal_Wrist_389,50594,5.88%,
Dungeons,Voidmenders_Shadowgem_376,50593,5.88%,
Dungeons,Darkmoon_Deck_Box_Inferno_Bronzescale_389,50589,5.87%,
Dungeons,Eye_of_Skovald_385,50584,5.86%,
Dungeons,Furious_Ragefeather_392,50574,5.84%,
Dungeons,Whispering_Incarnate_Icon_0_382,50565,5.82%,
Dungeons,Horn_of_Valor_376,50564,5.82%,
Dungeons,Darkmoon_Deck_Box_Inferno_389,50551,5.79%,
Dungeons,Darkmoon_Deck_Box_Rime_405,50547,5.78%,
Dungeons,Emerald_Coachs_Whistle_405,50545,5.78%,
Dungeons,Crimson_Aspirants_Insignia_of_Alacrity_366,50545,5.78%,
Dungeons,Crimson_Aspirants_Badge_of_Ferocity_366,50540,5.77%,
Dungeons,Darkmoon_Deck_Box_Rime_Emberscale_405,50534,5.76%,
Dungeons,Eye_of_Skovald_382,50533,5.75%,
Dungeons,Darkmoon_Deck_Box_Dance_Jetscale_389,50514,5.71%,
Dungeons,Umbrelskuls_Fractured_Heart_405,50498,5.68%,
Dungeons,Darkmoon_Deck_Box_Rime_Jetscale_405,50495,5.67%,
Dungeons,Infernal_Wrist_385,50482,5.65%,
Dungeons,Furious_Ragefeather_389,50466,5.61%,
Dungeons,Eye_of_Skovald_379,50464,5.61%,
Dungeons,Darkmoon_Deck_Box_Rime_Azurescale_405,50464,5.61%,
Dungeons,Emerald_Coachs_Whistle_402,50455,5.59%,
Dungeons,Darkmoon_Deck_Box_Rime_Bronzescale_405,50453,5.59%,
Dungeons,Desperate_Invokers_Codex_424,50452,5.58%,
Dungeons,Darkmoon_Deck_Box_Rime_Sagescale_405,50445,5.57%,
Dungeons,Furious_Ragefeather_385,50411,5.50%,
Dungeons,Infernal_Wrist_382,50404,5.48%,
Dungeons,Darkmoon_Deck_Box_Dance_Emberscale_389,50402,5.48%,
Dungeons,Eye_of_Skovald_376,50394,5.46%,
Dungeons,Conjured_Chillglobe_376,50393,5.46%,
Dungeons,Umbrelskuls_Fractured_Heart_402,50380,5.43%,
Dungeons,Emerald_Coachs_Whistle_398,50373,5.42%,
Dungeons,Darkmoon_Deck_Box_Dance_Azurescale_389,50370,5.41%,
Dungeons,Darkmoon_Deck_Box_Dance_389,50360,5.39%,
Dungeons,Broodkeepers_Promise_424,50359,5.39%,
Dungeons,Infernal_Wrist_379,50349,5.37%,
Dungeons,Furious_Ragefeather_382,50345,5.36%,
Dungeons,Emerald_Coachs_Whistle_395,50327,5.32%,
Dungeons,Spiteful_Storm_398,50317,5.30%,
Dungeons,Infernal_Wrist_376,50309,5.28%,
Dungeons,Furious_Ragefeather_379,50308,5.28%,
Dungeons,Darkmoon_Deck_Box_Dance_Sagescale_389,50304,5.27%,
Dungeons,Ruby_Whelp_Shell_421,50303,5.27%,
Dungeons,Tome_of_Unstable_Power_421,50292,5.25%,
Dungeons,Darkmoon_Deck_Box_Dance_Bronzescale_389,50282,5.23%,
Dungeons,Umbrelskuls_Fractured_Heart_395,50273,5.21%,
Dungeons,Tome_of_Unstable_Power_418,50269,5.20%,
Dungeons,Umbrelskuls_Fractured_Heart_398,50268,5.20%,
Dungeons,Idol_of_the_Spell_Weaver_418,50251,5.16%,
Dungeons,Ruby_Whelp_Shell_418,50238,5.14%,
Dungeons,Emerald_Coachs_Whistle_392,50236,5.13%,
Dungeons,Tome_of_Unstable_Power_415,50225,5.11%,
Dungeons,Emerald_Coachs_Whistle_389,50221,5.10%,
Dungeons,Idol_of_the_Dreamer_418,50221,5.10%,
Dungeons,Furious_Ragefeather_376,50198,5.05%,
Dungeons,Idol_of_the_Earth_Warder_418,50189,5.03%,
Dungeons,Ruby_Whelp_Shell_415,50176,5.01%,
Dungeons,Darkmoon_Deck_Box_Rime_Jetscale_389,50149,4.95%,
