profile,actor,DPS,increase,
Dungeons,Whispering_Incarnate_Icon_2_421,62668,8.53%,
Dungeons,Whispering_Incarnate_Icon_1_421,62525,8.28%,
Dungeons,Furious_Ragefeather_421,62403,8.07%,
Dungeons,Conjured_Chillglobe_415,62295,7.88%,
Dungeons,Furious_Ragefeather_418,62202,7.72%,
Dungeons,Horn_of_Valor_421,62197,7.71%,
Dungeons,Whispering_Incarnate_Icon_0_421,62182,7.69%,
Dungeons,Horn_of_Valor_418,62094,7.54%,
Dungeons,Whispering_Incarnate_Icon_2_408,62071,7.50%,
Dungeons,Furious_Ragefeather_415,62065,7.49%,
Dungeons,Scale_of_Fates_389,62054,7.47%,
Dungeons,Horn_of_Valor_415,62007,7.39%,
Dungeons,Whispering_Incarnate_Icon_1_408,62000,7.37%,
Dungeons,Eye_of_Skovald_421,61968,7.32%,
Dungeons,Darkmoon_Deck_Box_Inferno_Jetscale_418,61963,7.31%,
Dungeons,Alacritous_Alchemist_Stone_418,61952,7.29%,
Dungeons,Furious_Ragefeather_411,61951,7.29%,
Dungeons,Horn_of_Valor_411,61902,7.20%,
Dungeons,Eye_of_Skovald_418,61891,7.18%,
Dungeons,Infernal_Writ_421,61882,7.17%,
Dungeons,Darkmoon_Deck_Box_Dance_Jetscale_418,61874,7.15%,
Dungeons,Crimson_Gladiators_Insignia_of_Alacrity_408,61869,7.15%,
Dungeons,Eye_of_Skovald_415,61798,7.02%,
Dungeons,Horn_of_Valor_408,61798,7.02%,
Dungeons,Infernal_Writ_418,61788,7.01%,
Dungeons,Sustaining_Alchemist_Stone_418,61779,6.99%,
Dungeons,Furious_Ragefeather_408,61753,6.95%,
Dungeons,Horn_of_Valor_405,61732,6.91%,
Dungeons,Crimson_Gladiators_Badge_of_Ferocity_408,61700,6.85%,
Dungeons,Whispering_Incarnate_Icon_0_408,61699,6.85%,
Dungeons,Eye_of_Skovald_411,61670,6.80%,
Dungeons,Conjured_Chillglobe_402,61670,6.80%,
Dungeons,Infernal_Writ_415,61650,6.77%,
Dungeons,The_Skull_of_Guldan_389,61637,6.74%,
Dungeons,Darkmoon_Deck_Box_Inferno_Emberscale_418,61630,6.73%,
Dungeons,Voidmenders_Shadowgem_421,61608,6.69%,
Dungeons,Furious_Ragefeather_405,61607,6.69%,
Dungeons,Darkmoon_Deck_Box_Dance_Emberscale_418,61603,6.69%,
Dungeons,Eye_of_Skovald_408,61594,6.67%,
Dungeons,Darkmoon_Deck_Box_Dance_Azurescale_418,61592,6.67%,
Dungeons,Horn_of_Valor_402,61583,6.65%,
Dungeons,Whispering_Incarnate_Icon_2_395,61581,6.65%,
Dungeons,Eye_of_Skovald_405,61575,6.64%,
Dungeons,Spiteful_Storm_424,61574,6.64%,
Dungeons,Infernal_Writ_411,61572,6.63%,
Dungeons,Darkmoon_Deck_Box_Inferno_Sagescale_418,61569,6.63%,
Dungeons,Alacritous_Alchemist_Stone_405,61564,6.62%,
Dungeons,Time_Breaching_Talon_372,61556,6.60%,
Dungeons,Darkmoon_Deck_Box_Inferno_418,61554,6.60%,
Dungeons,Darkmoon_Deck_Box_Dance_Bronzescale_418,61546,6.59%,
Dungeons,Darkmoon_Deck_Box_Inferno_Bronzescale_418,61513,6.53%,
Dungeons,Darkmoon_Deck_Box_Dance_Sagescale_418,61508,6.52%,
Dungeons,Darkmoon_Deck_Box_Inferno_Azurescale_418,61506,6.52%,
Dungeons,Infernal_Writ_408,61501,6.51%,
Dungeons,Furious_Ragefeather_402,61489,6.49%,
Dungeons,Voidmenders_Shadowgem_418,61486,6.48%,
Dungeons,Whispering_Incarnate_Icon_1_395,61484,6.48%,
Dungeons,Tome_of_Unstable_Power_421,61481,6.47%,
Dungeons,Darkmoon_Deck_Box_Dance_418,61481,6.47%,
