profile,actor,DPS,increase,
rlp-tyran,Neltharions_Call_to_Suffering_457,109267,8.53%,
rlp-tyran,Neltharions_Call_to_Suffering_444,108573,7.85%,
rlp-tyran,Neltharions_Call_to_Suffering_441,108413,7.69%,
rlp-tyran,Neltharions_Call_to_Suffering_431,107899,7.18%,
rlp-tyran,Screaming_Black_Dragonscale_447,107802,7.08%,
rlp-tyran,Screaming_Black_Dragonscale_441,107477,6.76%,
rlp-tyran,Screaming_Black_Dragonscale_437,107345,6.63%,
rlp-tyran,Erupting_Spear_Fragment_447,107221,6.50%,
rlp-tyran,Screaming_Black_Dragonscale_434,107160,6.44%,
rlp-tyran,Ominous_Chromatic_Essence_Bronze_444,107119,6.40%,
rlp-tyran,Ominous_Chromatic_Essence_Obsidian_444,107098,6.38%,
rlp-tyran,Erupting_Spear_Fragment_444,107062,6.34%,
rlp-tyran,Idol_of_Pure_Decay_447,107062,6.34%,
rlp-tyran,Ominous_Chromatic_Essence_Emerald_444,107022,6.30%,
rlp-tyran,Ominous_Chromatic_Essence_Azure_444,107009,6.29%,
rlp-tyran,Ominous_Chromatic_Essence_Ruby_444,106970,6.25%,
rlp-tyran,Ominous_Chromatic_Essence_Bronze_441,106957,6.24%,
rlp-tyran,Ominous_Chromatic_Essence_Obsidian_441,106957,6.24%,
rlp-tyran,Vessel_of_Searing_Shadow_441,106957,6.24%,
rlp-tyran,Idol_of_the_Dreamer_447,106955,6.24%,
rlp-tyran,Ominous_Chromatic_Essence_Emerald_441,106905,6.19%,
rlp-tyran,Erupting_Spear_Fragment_441,106860,6.14%,
rlp-tyran,Idol_of_Pure_Decay_444,106857,6.14%,
rlp-tyran,Ominous_Chromatic_Essence_Azure_441,106831,6.11%,
rlp-tyran,Ominous_Chromatic_Essence_Ruby_441,106830,6.11%,
rlp-tyran,Whispering_Incarnate_Icon_2_421,106787,6.07%,
rlp-tyran,Vessel_of_Searing_Shadow_437,106740,6.02%,
rlp-tyran,Idol_of_Pure_Decay_441,106685,5.97%,
rlp-tyran,Erupting_Spear_Fragment_437,106678,5.96%,
rlp-tyran,Spoils_of_Neltharus_447,106654,5.94%,
rlp-tyran,Sustaining_Alchemist_Stone_447,106628,5.91%,
rlp-tyran,Idol_of_the_Earth_Warder_447,106615,5.90%,
rlp-tyran,Idol_of_the_Life_Binder_447,106605,5.89%,
rlp-tyran,Darkmoon_Deck_Box_Dance_Emberscale_447,106571,5.86%,
rlp-tyran,Spoils_of_Neltharus_444,106543,5.83%,
rlp-tyran,Irideus_Fragment_447,106533,5.82%,
rlp-tyran,Idol_of_the_Spell_Weaver_447,106524,5.81%,
rlp-tyran,Ominous_Chromatic_Essence_Bronze_431,106515,5.80%,
rlp-tyran,Darkmoon_Deck_Box_Dance_447,106507,5.79%,
rlp-tyran,Erupting_Spear_Fragment_434,106499,5.78%,
rlp-tyran,Darkmoon_Deck_Box_Dance_Azurescale_447,106481,5.77%,
rlp-tyran,Whispering_Incarnate_Icon_1_421,106475,5.76%,
rlp-tyran,Ominous_Chromatic_Essence_Obsidian_431,106472,5.76%,
rlp-tyran,Darkmoon_Deck_Box_Dance_Bronzescale_447,106451,5.74%,
rlp-tyran,Darkmoon_Deck_Box_Dance_Jetscale_447,106446,5.73%,
rlp-tyran,Darkmoon_Deck_Box_Dance_Sagescale_447,106444,5.73%,
rlp-tyran,Ominous_Chromatic_Essence_Emerald_431,106435,5.72%,
rlp-tyran,Idol_of_Pure_Decay_437,106423,5.71%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_Emberscale_447,106410,5.70%,
rlp-tyran,Irideus_Fragment_444,106406,5.69%,
rlp-tyran,Ominous_Chromatic_Essence_Azure_431,106403,5.69%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_Jetscale_447,106395,5.68%,
rlp-tyran,Spoils_of_Neltharus_441,106391,5.68%,
rlp-tyran,Alacritous_Alchemist_Stone_447,106385,5.67%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_Sagescale_447,106370,5.66%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_447,106366,5.65%,
rlp-tyran,Ominous_Chromatic_Essence_Ruby_431,106364,5.65%,
rlp-tyran,Igneous_Flowstone_447,106351,5.64%,
rlp-tyran,Crimson_Gladiators_Insignia_of_Alacrity_434,106334,5.62%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_Azurescale_447,106330,5.62%,
rlp-tyran,Erupting_Spear_Fragment_431,106325,5.61%,
rlp-tyran,Vessel_of_Searing_Shadow_428,106298,5.59%,
rlp-tyran,Darkmoon_Deck_Box_Inferno_Bronzescale_447,106292,5.58%,
rlp-tyran,Spoils_of_Neltharus_437,106286,5.57%,
rlp-tyran,Irideus_Fragment_441,106277,5.56%,
rlp-tyran,Idol_of_Pure_Decay_434,106230,5.52%,
rlp-tyran,Erupting_Spear_Fragment_428,106162,5.45%,
rlp-tyran,Spoils_of_Neltharus_434,106159,5.45%,
rlp-tyran,Irideus_Fragment_437,106133,5.42%,
rlp-tyran,Whispering_Incarnate_Icon_0_421,106120,5.41%,
rlp-tyran,Igneous_Flowstone_441,106056,5.34%,
rlp-tyran,Spoils_of_Neltharus_431,106038,5.33%,
rlp-tyran,Idol_of_Pure_Decay_431,106033,5.32%,
rlp-tyran,Irideus_Fragment_434,106019,5.31%,
rlp-tyran,Erupting_Spear_Fragment_424,106014,5.30%,
rlp-tyran,Furious_Ragefeather_421,106007,5.30%,
rlp-tyran,Ominous_Chromatic_Essence_Bronze_418,105983,5.27%,
